project_name,version,license,pypi_url,github_url,snyk_url,type
cryptography,v40.0.2,License: Python-2.0,https://www.pypi.org/project/cryptography,https://github.com/pyca/cryptography,https://snyk.io/advisor/python/cryptography,key-ecosystem-project
Cython,v0.29.34,License: Apache-2.0,https://www.pypi.org/project/Cython,https://github.com/cython/cython,https://snyk.io/advisor/python/cython,key-ecosystem-project
dask,v2023.4.0,License: BSD-3-Clause,https://www.pypi.org/project/dask,https://github.com/dask/dask,https://snyk.io/advisor/python/dask,key-ecosystem-project
dataclasses,v0.8,License: Apache-2.0,https://www.pypi.org/project/dataclasses,https://github.com/ericvsmith/dataclasses,https://snyk.io/advisor/python/dataclasses,key-ecosystem-project
dataclasses-json,v0.5.7,License: MIT,https://www.pypi.org/project/dataclasses-json,https://github.com/lidatong/dataclasses-json,https://snyk.io/advisor/python/dataclasses-json,key-ecosystem-project
datadog,v0.45.0,License: BSD-3-Clause,https://www.pypi.org/project/datadog,https://github.com/DataDog/datadogpy,https://snyk.io/advisor/python/datadog,key-ecosystem-project
dateparser,v1.1.8,License: BSD-3-Clause,https://www.pypi.org/project/dateparser,https://github.com/scrapinghub/dateparser,https://snyk.io/advisor/python/dateparser,key-ecosystem-project
debugpy,v1.6.7,License: MIT,https://www.pypi.org/project/debugpy,https://github.com/microsoft/debugpy,https://snyk.io/advisor/python/debugpy,key-ecosystem-project
decorator,v5.1.1,License: BSD-2-Clause,https://www.pypi.org/project/decorator,https://github.com/micheles/decorator,https://snyk.io/advisor/python/decorator,key-ecosystem-project
deepdiff,v6.3.0,License: MIT,https://www.pypi.org/project/deepdiff,https://github.com/seperman/deepdiff,https://snyk.io/advisor/python/deepdiff,key-ecosystem-project
delta-spark,v2.3.0,License: Apache-2.0,https://www.pypi.org/project/delta-spark,https://github.com/delta-io/delta,https://snyk.io/advisor/python/delta-spark,key-ecosystem-project
dill,v0.3.6,License: BSD-3-Clause,https://www.pypi.org/project/dill,https://github.com/uqfoundation/dill,https://snyk.io/advisor/python/dill,key-ecosystem-project
discord,v2.2.2,License: MIT,https://www.pypi.org/project/discord,https://github.com/Rapptz/discord.py,https://snyk.io/advisor/python/discord,key-ecosystem-project
discord.py,v2.2.2,License: MIT,https://www.pypi.org/project/discord.py,https://github.com/Rapptz/discord.py,https://snyk.io/advisor/python/discord-py,key-ecosystem-project
distributed,v2023.4.0,License: BSD-3-Clause,https://www.pypi.org/project/distributed,https://github.com/dask/distributed,https://snyk.io/advisor/python/distributed,key-ecosystem-project
Django,v4.2,License: BSD-3-Clause,https://www.pypi.org/project/Django,https://github.com/django/django,https://snyk.io/advisor/python/django,key-ecosystem-project
djangorestframework,v3.14.0,License: BSD-2-Clause,https://www.pypi.org/project/djangorestframework,https://github.com/encode/django-rest-framework,https://snyk.io/advisor/python/djangorestframework,key-ecosystem-project
dnspython,v2.3.0,License: ISC,https://www.pypi.org/project/dnspython,https://github.com/rthalley/dnspython,https://snyk.io/advisor/python/dnspython,key-ecosystem-project
docker,v6.0.1,License: Apache-2.0,https://www.pypi.org/project/docker,https://github.com/docker/docker-py,https://snyk.io/advisor/python/docker,key-ecosystem-project
docopt,v0.6.2,License: MIT,https://www.pypi.org/project/docopt,https://github.com/docopt/docopt,https://snyk.io/advisor/python/docopt,key-ecosystem-project
dpath,v2.1.5,License: MIT,https://www.pypi.org/project/dpath,https://github.com/dpath-maintainers/dpath-python,https://snyk.io/advisor/python/dpath,key-ecosystem-project
dulwich,v0.21.3,License: Apache-2.0,https://www.pypi.org/project/dulwich,https://github.com/jelmer/dulwich,https://snyk.io/advisor/python/dulwich,key-ecosystem-project
ecdsa,v0.18.0,License: MIT,https://www.pypi.org/project/ecdsa,https://github.com/tlsfuzzer/python-ecdsa,https://snyk.io/advisor/python/ecdsa,key-ecosystem-project
elasticsearch,v8.7.0,License: Apache-2.0,https://www.pypi.org/project/elasticsearch,https://github.com/elastic/elasticsearch-py,https://snyk.io/advisor/python/elasticsearch,key-ecosystem-project
email-validator,v2.0.0.post2,License: CC0-1.0,https://www.pypi.org/project/email-validator,https://github.com/JoshData/python-email-validator,https://snyk.io/advisor/python/email-validator,key-ecosystem-project
Faker,v18.4.0,License: MIT,https://www.pypi.org/project/Faker,https://github.com/joke2k/faker,https://snyk.io/advisor/python/faker,key-ecosystem-project
fastapi,v0.95.1,License: MIT,https://www.pypi.org/project/fastapi,https://github.com/tiangolo/fastapi,https://snyk.io/advisor/python/fastapi,key-ecosystem-project
fastavro,v1.7.3,License: MIT,https://www.pypi.org/project/fastavro,https://github.com/fastavro/fastavro,https://snyk.io/advisor/python/fastavro,key-ecosystem-project
filelock,v3.12.0,License: Unlicense,https://www.pypi.org/project/filelock,https://github.com/tox-dev/py-filelock,https://snyk.io/advisor/python/filelock,key-ecosystem-project
Fiona,v1.9.3,License: BSD-3-Clause,https://www.pypi.org/project/Fiona,https://github.com/Toblerity/Fiona,https://snyk.io/advisor/python/fiona,key-ecosystem-project
fire,v0.5.0,License: Apache-2.0,https://www.pypi.org/project/fire,https://github.com/google/python-fire,https://snyk.io/advisor/python/fire,key-ecosystem-project
flake8,v6.0.0,License: MIT,https://www.pypi.org/project/flake8,https://github.com/PyCQA/flake8,https://snyk.io/advisor/python/flake8,key-ecosystem-project
Flask,v2.2.3,License: BSD-3-Clause,https://www.pypi.org/project/Flask,https://github.com/pallets/flask,https://snyk.io/advisor/python/flask,key-ecosystem-project
